AoA,Cl,Cd,
-10,0.001854341,0.02088117,0.001522998
-5,0.000961515,0.02728445,0.005762893
0,0.000268405,0.02045372,-0.000586316
5,0.006712236,0.0223099,-0.009713798
10,0.02806689,0.03309769,-0.02664614
15,0.02170846,0.01793038,-0.02789287
